,pubmedname,twitterhandle,handlename,descrip,location,follower,friend
5931,Brian+T.+Fisher,@BrianFisher95,Brian Fisher,Associate Professor of Pediatrics and Epidemiology at the University of Pennsylvania and the Children's Hospital of Philadelphia; @CHOP_CPCE #PediatricIDEAs,"Philadelphia, PA",338,179
5941,Brian+T.+Gold,@BG_PhD,Brian Gold,Assistant Professor in the Department of Chemistry & Chemical Biology @UNM • Lost in a mysterious universe without any purpose,"Albuquerque, NM",329,590
5953,Brian+T.+Hill,@brianrhill,Brian Hill,"Working towards PhD | MSc Communication, Behaviour & Credibility Analysis & MSc Psychological Sciences | Investigative Interviewing | ex IFA |💂👮‍♂️👨🏼‍🎓⛷💨","Bradford-on-Avon, England",2527,2859
5961,Brian+T.+Joyce,@BrianJoyceWater,Brian Joyce,"A water resources scientist committed to finding solutions that guarantee reliable water to support livelihoods, ecosystems, and economic activities",,26,36
6011,Brian+V.+Jones,@BtwistV,Brian V. Jones,"Former professor of photography, documentary photographer and writer.","Sarasota, FL",16,106
6044,Brian+W.+Davis,@jdhdavis,"John W. Davis, MD","Professor, Urology MD Anderson Cancer Center—Online Content Editor @AmerUrological Publications—Editor, @BJUICompass","Houston, Texas",3825,661
6056,Brian+W.+Parks,@BWesleyParks,Brian Parks,Assistant Professor at UW-Madison. I research genetics of metabolic diseases. Professional Mouse Wrangler. Father to three beautiful daughters.,"Madison, Wi",145,462
6069,Brian+W.+Pogue,@BrianPogue19,Brian Pogue,"MacLean Professor of Engineering at Dartmouth. Editor-in-Chief of J. of Biomedical Optics SPIE, Medical Physics PhD Prog. Dartmouth.","Hanover, NH",163,200
6085,Brian+W.+Timmons,@ExMedDr,Brian W. Timmons,Canada Research Chair in Child Health & Exercise Medicine,"Hamilton, Ontario",174,116
6172,Brian+Anderson,@AZBrianAnderson,Brian Anderson,"Founder, @SaguaroGroup. Previously press & research for Arizona Governor @DougDucey and @FreedomPartners","Phoenix, Arizona",1384,1140
6226,Brian+Bishop,@brianlbishop,Brian Bishop,An artist and professor at Framingham State University (@FraminghamU) who resides in the Fort Point neighborhood of Boston,"Boston, MA",122,243
6266,Brian+Brooks,@brooksbs,Brian Brooks,"Associate Dean and Professor Emeritus,
Missouri School of Journalism","38.896886,-92.416327",421,352
6304,Brian+Butterworth,@b_butter_worth,Brian Butterworth,Atmospheric scientist studying surface-atmosphere interactions in polar regions (and Wisconsin).,"Madison, Wisconsin",54,45
6335,Brian+Caulfield,@brian_caulfield,Brian Caulfield,"Associate Professor, Trinity College Dublin, Research in Transport, Public Transport, Transport Emissions and Climate Change. @tcddublin @tcdengineering",Trintiy College Dublin,630,266
6365,Brian+Cheng,@chengsbrian,Brian Cheng,"Marine ecology, organismal biology, oceanography, climate change, species invasions, Assistant Prof @UMassAmherst He/his","Amherst, MA",579,478
6397,Brian+Connolly,@bconnolly505,Brian Connolly,"Boston, Ma Commercial Real Estate Advisor Tenant Rep. Fam, Biz, Philanthropy. Bentley U. Southie Resident 14+ years. Newport RI 1+  RT/Like ≠ Endorsement",Boston,296,1228
6422,Brian+Cox,@ProfBrianCox,Brian Cox,Professor of Particle Physics at The University of Manchester and The Royal Society Professor for Public Engagement in Science.,"The Earth, with everyone else",3033019,908
6456,Brian+Dawson,@brianpdawson,Brian Dawson,"CEO at HarvestPort, Board Member at Farmer’s Footprint (nonprofit), Advisor at Planet FWD, Investor at Full Cycle Bioplastics","Los Angeles, CA",698,1554
6483,Brian+Dillon,@brianmikedillon,Brian Dillon,"Development economist focused on agriculture, food security, labor, seasonality. Assistant Professor @CornellDyson","Ithaca, NY",1009,839
6506,Brian+Downer,@BrdownerG,Brian Downer,Gerontologist and scientist. My passion is doing research that contributes to improving the overall health and well-being of older adults.,"Galveston, Texas",307,411
6532,Brian+Ellis,@brianleeellis,Dr. Brian Ellis,"PhD: UT Southwestern; postdoc: UCSD. Biology prof interested in neglected tropical disease/helminths. Saved by grace, prolife. @Parler_app: BrianLEllis","Nashville, TN",74,81
6538,Brian+Fanelli,@BrianJFanelli1,Brian Fanelli,"Writer.  #horror and #book nerd. Bylines: @SignalHorizon, @Horror_Buzz, @SVJLIT, more.  Ph.D. Assistant Professor of English.  #HWA member.",Pennsylvania,519,941
6560,Brian+Fisher,@BrianFisher95,Brian Fisher,Associate Professor of Pediatrics and Epidemiology at the University of Pennsylvania and the Children's Hospital of Philadelphia; @CHOP_CPCE #PediatricIDEAs,"Philadelphia, PA",338,179
6684,Brian+Halliday,@bp_halliday,Brian Halliday,Clinical Lecturer in Cardiology | Cardiomyopathy & CMR | DCM | recovery vs remission | London via Belfast & Edinburgh,,376,297
6744,Brian+Hodges,@BDHodges1,"Brian D. Hodges MD, PhD, FRCPC","Chief Medical Officer @UHN, EVP UHN Education & @MichenerInst, Professor @UofTMedicine. Coauthor ""Without Compassion There is No Healthcare"" Queens-McGill Press",Toronto,6281,296
6764,Brian+Hutton,@BrianHuttonWTAE,Brian Hutton Jr.,Weekend morning meteorologist at WTAE | Adjunct lecturer | Johnstown native | Long road home: MS → NC → PA | Girl Dad | Grillmaster | Tweets = my own opinion,"Pittsburgh, PA",3167,1266
6797,Brian+Johnston,@briwbri,Brian Johnston,Intensive Care Medicine / Anaesthetist / PhD researcher/candidate / (lazy) runner 🏃‍♂️🚴🏼‍♂️ / probably too political / my own views 🇬🇧🇮🇪🇪🇺🏳️‍🌈,Liverpool/Belfast/Manchester,1587,4354
6869,Brian+Kennedy,@drbriankennedy,brian kennedy,GP Nenagh START doctor hubby dad living4love be who are tweet what you feel those who matter don’t mind those who mind still matter 😀🏳️‍🌈,,1247,1635
6890,Brian+Kim,@brhkim,Brian Heseung Kim,EdPolicy PhD candidate @UVa studying higher ed access + success with econ + data sci // Former K12 teacher / @UVABatten MPP '19 / @BowdoinCollege '13 / He / Him,"Charlottesville, VA",539,1120
6942,Brian+Le,@BrianLeMD,Brian Le MD,Assistant Professor of Urology at University of Wisconsin-Madison. Specializing in sexual medicine and reconstructive surgery.,"Madison, WI",82,40
6971,Brian+Leung,@BrianLeungKP,Brian Leung,"Hongkonger; Poli Sci PhD student, @UW; ""Wherever you go, you will be a polis.""",United States,17004,702
6977,Brian+Levine,@briantlevine,Brian Levine,"Neuropsychologist and scientist studying human memory, aging, dementia, traumatic brain injury, and rehabilitation",Toronto,1851,789
7000,Brian+Lipworth,@pulmonologydoc,Brian Lipworth,"Head of Scottish Centre for Respiratory Research and Clinical Professor of Medicine ,Univ Dundee","Dundee, Scotland",58,24
7004,Brian+Lo,@BrianK_Lo,Brian K. Lo,Postdoc @BCSSW | PhD @CornellNutri | MPH @UofT_dlsph | BASc @RyersonU,"Boston, MA",200,617
7060,Brian+Martin,@BrianOMartin,Brian Martin,"Trying to research and write while in constant crisis.  If not, then I’m probably lost in a world of football, travel and design.",Dundalk,38,179
7087,Brian+McKinstry,@Brianmckinstry,Brian McKinstry,"Emeritus professor of Primary Care eHealth, University of Edinburgh. Interests: remote consulting telemonitoring.  Director SHARE @register4share.","Edinburgh, Scotland",842,635
7097,Brian+McMahon,@bcm822,Brian McMahon,Data Scientist and AI Enthusiast. Never stop learning.,"Seattle, WA",86,707
7105,Brian+McMillan,@BRWMcMillan,Brian McMillan,GP & Health Psychologist. Research interests include use of technology and psychological theory to improving patients' experiences of primary care.,University of Manchester,423,422
7121,Brian+Miller,@4_BetterHealth,"Brian Miller, M.D., M.B.A., M.P.H.","Internist & policy wonk. Insurance nerd, competition policy fan. Former Regulator at CMS, FDA, FCC, FTC. Asst Prof @HopkinsMedicine. Opinions are my own.","Washington, DC",221,485
7185,Brian+Nicholson,@BrianDNicholson,Brian D Nicholson 🇪🇺,GP @NIHRresearch Clinical Lecturer @OxPrimaryCare @CRUKResearch GP Facilitator @macmillancancer Affiliate @KPWaResearch  #primarycare #diagnosis #cancer,"Oxford, England",547,1386
7337,Brian+Robinson,@BriRobinsonPhD,Brian Robinson,"Father, Assistant Professor of Philosophy
he/him","Corpus Christi, TX",168,295
7381,Brian+Schwartz,@BrianSchwitter,Brian Schwartz,"Co-Founder at SIZE & SIZE Capital. Advisor to many, board member and investor to some, helper to all.","Los Angeles, CA",360,274
7462,Brian+Thompson,@eye_science_bri,Brian Thompson,PhD candidate | Eye researcher | Epigenetics | Climate activist  | Yale School of Public Health | Vasiliou Lab | Tweets & views are my own,,142,204
7484,Brian+Turner,@drturner,Brian Turner,Sport Management Associate Professor at The Ohio State University,"Hilliard, OH",856,560
7499,Brian+Vohnsen,@BVohnsen,Brian Vohnsen,Associate Professor in Optical Physics,"Dublin, Irlande",323,359
7505,Brian+Wahl,@Brianwahlrus,Brian Wahl,"I have a PhD in art, I will fucking lazer you
 -kanye",,143,218
7511,Brian+Walker,@BWalker1963,Brian Walker,Pro Vice Chancellor Research Strategy and Resources at Newcastle University. Clinician scientist and steroid specialist. All views my own.,Royaume-Uni,793,373
7523,Brian+Wang,@BrianXWang1,Brian Wang,Medical student | Researcher | MA (Cantab) | PhD |AFHEA | Founder of In2MedSchool,,67,83
7543,Brian+Weston,@Btwestonsf,Brian Weston,Research scientist at the Lawrence Livermore National Laboratory,"Oakland, California",39,68
7579,Briana+Lees,@BrianaLees,Briana Lees,"B. Psychology (Hons), PhD (Medicine & Public Health)","Sydney, Australia",541,298
7602,Brianne+A.+Kent,@Brianne_Kent,Brianne Kent,"Neuroscientist researching Alzheimer's disease, sleep, and circadian rhythms. Assistant Prof @SFU @SFUPsychology @SFU_Science 🇨🇦","Vancouver, Canada",994,788
7693,Bridget+M.+Johnston,@BriMJohnston,Dr Bridget Johnston,"Assistant Director Teaching and Learning @SPHeREprogramme; Research Fellow - health econ, palliative care, UHC and mixed methods research. @PaCE_TCD @TCDDublin",Ireland,1161,915
7733,Bridget+Dibb,@BridgetDibb,Bridget Dibb,"Senior Lecturer in Health Psychology, University of Surrey.",Guildford,45,46
7760,Bridget+Johnston,@BriMJohnston,Dr Bridget Johnston,"Assistant Director Teaching and Learning @SPHeREprogramme; Research Fellow - health econ, palliative care, UHC and mixed methods research. @PaCE_TCD @TCDDublin",Ireland,1161,915
7865,Brielle+M.+Paolini,@BriellePaolini,Brielle Paolini,MD/ PhD 😷| Neuroscience | Golfer | Life optimizer 💃🏻 | Artist 🎨|,Here.,291,348
7872,Brietta+M.+Oaks,@Brietta_Oaks,Brietta Oaks,Assistant Professor in Nutrition at University of Rhode Island. Interested in the impact of nutrition during pregnancy to address health disparities.,University of Rhode Island,41,64
7873,Brietta+M+Oaks,@Brietta_Oaks,Brietta Oaks,Assistant Professor in Nutrition at University of Rhode Island. Interested in the impact of nutrition during pregnancy to address health disparities.,University of Rhode Island,41,64
7884,Bright+Opoku+Ahinkorah,@BAhinkorah,Bright Opoku Ahinkorah,"PhD Candidate at the University of Technology Sydney. Research interest in adolescent health, with emphasis on adolescent pregnancy. Very Enthusiastic.","Sydney, New South Wales",9,14
7918,Brigid+Lucey,@LuceyBrigid,Brigid Lucey,"President of the Academy of Clinical Science & Laboratory Medicine & Senior Lecturer in Biomedical Science at Cork IT; was Senior Medical Scientist, Micro, CUH",ACSLM and Cork IT,23,23
7932,Brigida+Barberio,@bribarberio,Brigida Barberio,"Consultant Gastroenterologist, PhD Student and also wife! I like travelling, watching movies and TV series, listening to indie music....and #research",Padova,76,156
7939,Brigit+Toebes,@brigittoebes,Brigit Toebes,"Chair, Health law in a global context -  Faculty of Law, University of Groningen",,351,313
7966,Brigitte+M+Baumann,@_MichaelBaumann,"Michael Baumann, MD",Scientific Chair and CEO German Cancer Research Center @DKFZ; Physician Scientist RadOnc; Professor; Editor-in-Chief Radiother&Oncol; tweets = personal views,Heidelberg,1134,370
8015,Brigitte+Gasser,@BrigitteGasser,Brigitte Gasser,Social scientist interested in narrative research,,19,12
8167,Brijesh+K.+Tiwari,@brijeshktiwari,Brijesh K. Tiwari,Professor Brijesh K Tiwari is a principal research officer at TEAGASC,"Dublin City, Ireland",232,190
8192,Brijesh+V.+Patel,@DrBrijPatel,"Brijesh Patel DO, FACC",Asst. Prof @WVUMedicine| #CardioOncology| #Echocardiography| #HeartFailure| #AI #ML | Believer in individualized and efficient care| tweet=personal view,,415,519
